"scenario","sc_idx","co2","chunk","cells_total","cells_ok","cells_fail","elapsed_sec","errors","timestamp"
"baseline",1,350,1,6,6,0,31.6,"","2026-06-08 00:45:43"
"baseline",1,350,2,5,5,0,26.2,"","2026-06-08 00:45:43"
"climate_change",2,350,1,6,6,0,30.4,"","2026-06-08 00:46:15"
"climate_change",2,350,2,5,5,0,25.3,"","2026-06-08 00:46:15"
"baseline",1,350,1,50,48,2,219.5,"cell 6744: soil load failed; cell 15712: soil load failed","2026-06-07 21:50:41"
"baseline",1,350,2,50,49,1,261.4,"cell 16571: soil load failed","2026-06-07 21:50:41"
"climate_change",2,350,1,50,48,2,254.3,"cell 6744: soil load failed; cell 15712: soil load failed","2026-06-07 21:55:05"
"climate_change",2,350,2,50,49,1,259.8,"cell 16571: soil load failed","2026-06-07 21:55:05"
"baseline",1,350,3,500,477,23,2358,"cell 6744: soil load failed; cell 15712: soil load failed; cell 16571: soil load failed; cell 6772: soil load failed; cell 18908: soil load failed; cell 16742: soil load failed; cell 28231: soil load failed; cell 15669: soil load failed; cell 25361: soil load failed; cell 6779: soil load failed; cell 6755: soil load failed; cell 21599: soil load failed; cell 4447: soil load failed; cell 16947: soil load failed; cell 17481: soil load failed; cell 15138: soil load failed; cell 6602: soil load failed; cell 16602: soil load failed; cell 26609: soil load failed; cell 12138: soil load failed; cell 27696: soil load failed; cell 18201: soil load failed; cell 8203: soil load failed","2026-06-07 22:43:01"
"baseline",1,350,4,403,388,15,2035,"cell 6760: soil load failed; cell 6604: soil load failed; cell 26616: soil load failed; cell 6763: soil load failed; cell 6741: soil load failed; cell 13577: soil load failed; cell 19080: soil load failed; cell 16606: soil load failed; cell 3925: soil load failed; cell 28411: soil load failed; cell 16586: soil load failed; cell 8901: soil load failed; cell 6606: soil load failed; cell 26256: soil load failed; cell 6764: soil load failed","2026-06-07 22:43:01"
"climate_change",2,350,3,500,477,23,1791.1,"cell 6744: soil load failed; cell 15712: soil load failed; cell 16571: soil load failed; cell 6772: soil load failed; cell 18908: soil load failed; cell 16742: soil load failed; cell 28231: soil load failed; cell 15669: soil load failed; cell 25361: soil load failed; cell 6779: soil load failed; cell 6755: soil load failed; cell 21599: soil load failed; cell 4447: soil load failed; cell 16947: soil load failed; cell 17481: soil load failed; cell 15138: soil load failed; cell 6602: soil load failed; cell 16602: soil load failed; cell 26609: soil load failed; cell 12138: soil load failed; cell 27696: soil load failed; cell 18201: soil load failed; cell 8203: soil load failed","2026-06-07 23:12:57"
"climate_change",2,350,4,403,388,15,1497.1,"cell 6760: soil load failed; cell 6604: soil load failed; cell 26616: soil load failed; cell 6763: soil load failed; cell 6741: soil load failed; cell 13577: soil load failed; cell 19080: soil load failed; cell 16606: soil load failed; cell 3925: soil load failed; cell 28411: soil load failed; cell 16586: soil load failed; cell 8901: soil load failed; cell 6606: soil load failed; cell 26256: soil load failed; cell 6764: soil load failed","2026-06-07 23:12:57"
