"state_fips","state","total_corn_acres","irrig_acres","pct_irrigated","n_counties_known","n_counties_withheld"
"31","NE",8647547,4553410,52.7,88,1
"20","KS",4656890,1176497,25.3,82,14
"05","AR",722794,502304,69.5,28,7
"08","CO",1026245,461366,45,18,5
"48","TX",1626900,441116,27.1,52,33
"17","IL",10420447,339998,3.3,61,20
"18","IN",5376022,330556,6.1,47,25
"27","MN",7732455,298462,3.9,50,14
"28","MS",587598,283483,48.2,21,12
"26","MI",2099511,274790,13.1,36,14
"29","MO",3014171,273865,9.1,45,22
"22","LA",453757,260210,57.3,20,3
"13","GA",386306,179151,46.4,61,24
"46","SD",4802732,158909,3.3,39,13
"19","IA",12637070,150943,1.2,44,28
"55","WI",3065184,140036,4.6,34,18
"16","ID",121339,121339,100,20,0
"53","WA",102210,102160,100,11,2
"38","ND",2676500,72595,2.7,24,9
"10","DE",187785,71161,37.9,3,0
"40","OK",211865,59602,28.1,11,18
"45","SC",337755,57875,17.1,23,11
"24","MD",422129,56031,13.3,10,3
"47","TN",807052,51228,6.3,22,26
"41","OR",45670,45335,99.3,9,2
"04","AZ",41448,41448,100,5,0
"56","WY",55500,34234,61.7,7,3
"01","AL",326937,32138,9.8,23,13
"21","KY",1411384,29765,2.1,15,26
"37","NC",810628,27543,3.4,33,23
"06","CA",33994,23402,68.8,16,7
"49","UT",21583,21583,100,14,0
"12","FL",59147,16016,27.1,12,9
"39","OH",3313863,12638,0.4,28,19
"30","MT",65897,10889,16.5,8,10
"51","VA",382666,9668,2.5,17,19
"34","NJ",64139,6744,10.5,7,5
"35","NM",15857,5006,31.6,6,4
"42","PA",998267,2742,0.3,11,12
"32","NV",1532,1532,100,2,0
"23","ME",6151,436,7.1,2,2
"36","NY",603365,364,0.1,3,15
"25","MA",3541,9,0.3,2,2
"54","WV",34684,6,0,1,4
"09","CT",3343,0,0,0,0
"33","NH",902,0,0,0,1
"44","RI",185,0,0,0,1
"50","VT",10547,0,0,0,1
