"state_fips","state","total_soy_acres","irrig_acres","pct_irrigated","n_counties_known","n_counties_withheld"
"05","AR",5308291,5573885,105,79,13
"31","NE",7651805,4716677,61.6,154,6
"28","MS",4576238,3499233,76.5,61,39
"22","LA",2586916,1266371,49,63,9
"29","MO",8183469,1186689,14.5,98,50
"20","KS",6770587,719836,10.6,140,33
"17","IL",13419940,428593,3.2,115,44
"18","IN",7729010,379758,4.9,86,54
"26","MI",3168471,289594,9.1,72,9
"27","MN",10300981,248864,2.4,90,43
"46","SD",6560880,210876,3.2,64,25
"47","TN",2376150,189748,8,44,34
"19","IA",13796019,165014,1.2,64,64
"55","WI",3065043,127200,4.2,59,25
"24","MD",777712,95483,12.3,20,15
"10","DE",230584,94992,41.2,6,0
"38","ND",7560853,68404,0.9,44,15
"13","GA",213468,64093,30,38,36
"01","AL",796542,60427,7.6,30,29
"37","NC",2449315,57317,2.3,69,59
"21","KY",2574174,52504,2,26,55
"45","SC",730911,52277,7.2,37,23
"40","OK",882961,47950,5.4,40,28
"51","VA",856889,21245,2.5,39,27
"39","OH",6444874,19784,0.3,56,48
"34","NJ",142293,12576,8.8,13,7
"48","TX",117337,10135,8.6,9,17
"30","MT",8182,3825,46.7,3,2
"08","CO",8732,3574,40.9,5,4
"12","FL",24369,3314,13.6,6,5
"42","PA",937052,1874,0.2,13,24
"36","NY",454381,378,0.1,6,13
"09","CT",66,0,0,0,0
"23","ME",758,0,0,0,0
"33","NH",519,0,0,0,0
"35","NM",12,0,0,0,1
"50","VT",8924,0,0,0,0
"54","WV",31030,0,0,0,0
"56","WY",929,0,0,0,1
