"scenario","sc_idx","co2","chunk","cells_total","cells_ok","cells_fail","elapsed_sec","errors","timestamp"
"baseline",1,350,1,5,5,0,44.7,"","2026-06-06 12:23:13"
"baseline",1,350,2,5,5,0,44.6,"","2026-06-06 12:23:13"
"climate_change",2,350,1,5,5,0,31.8,"","2026-06-06 12:25:33"
"climate_change",2,350,2,5,5,0,32.2,"","2026-06-06 12:25:33"
"early_sowing",3,350,1,5,5,0,32.6,"","2026-06-06 12:26:06"
"early_sowing",3,350,2,5,5,0,32.5,"","2026-06-06 12:26:06"
"longer_mat",4,350,1,5,5,0,32.8,"","2026-06-06 12:26:40"
"longer_mat",4,350,2,5,5,0,32.6,"","2026-06-06 12:26:40"
"early_sowing_longer_mat",5,350,1,5,5,0,32.8,"","2026-06-06 12:27:14"
"early_sowing_longer_mat",5,350,2,5,5,0,32.8,"","2026-06-06 12:27:14"
"climate_change",6,540,1,5,5,0,32.1,"","2026-06-06 12:27:48"
"climate_change",6,540,2,5,5,0,32.5,"","2026-06-06 12:27:48"
"early_sowing",7,540,1,5,5,0,32.2,"","2026-06-06 12:28:22"
"early_sowing",7,540,2,5,5,0,32.4,"","2026-06-06 12:28:22"
"longer_mat",8,540,1,5,5,0,32.6,"","2026-06-06 12:28:55"
"longer_mat",8,540,2,5,5,0,32.3,"","2026-06-06 12:28:55"
"early_sowing_longer_mat",9,540,1,5,5,0,32.7,"","2026-06-06 12:29:29"
"early_sowing_longer_mat",9,540,2,5,5,0,32.7,"","2026-06-06 12:29:29"
"baseline",1,350,1,5,0,5,3.8,"cell 12662: There are no .db files in the specified directory to read.; cell 19644: There are no .db files in the specified directory to read.; cell 11615: There are no .db files in the specified directory to read.; cell 6744: soil load failed; cell 7284: There are no .db files in the specified directory to read.","2026-06-06 07:31:17"
"baseline",1,350,2,5,0,5,4.7,"cell 4823: There are no .db files in the specified directory to read.; cell 10526: There are no .db files in the specified directory to read.; cell 18551: There are no .db files in the specified directory to read.; cell 3354: There are no .db files in the specified directory to read.; cell 21595: There are no .db files in the specified directory to read.","2026-06-06 07:31:17"
