"group","parameter","start","fitted"
"EarlyMG4","veg",484,459.8
"EarlyMG4","early_flowering",185,198.875
"EarlyMG4","veg_photoperiod1",13.1,14.0825
"EarlyMG4","veg_photoperiod2",16.49,17.72675
"EarlyMG4","early_grain",0.338,0.3316625
"EarlyMG4","late_grain",384,434.4
"EarlyMG4","photoperiod1",11.48,9.758
"EarlyMG4","photoperiod2",17.24,17.34775
"EarlyMG4","area_largest_leaf",0.004,0.0040734375
"EarlyMG4","rue",1.48,1.72396875
"LateMG4","veg",388,349.2
"LateMG4","early_flowering",140,147
"LateMG4","veg_photoperiod1",13.1,13.755
"LateMG4","veg_photoperiod2",16.49,17.3145
"LateMG4","early_grain",0.324,0.328081640625
"LateMG4","late_grain",664,734.61484375
"LateMG4","photoperiod1",13.1,12.5933984375
"LateMG4","photoperiod2",16.49,17.5351181640625
"LateMG4","area_largest_leaf",0.007,0.007546875
"LateMG4","rue",1.25,1.76171875
"EarlyMG5","veg",634,634
"EarlyMG5","early_flowering",189,189
"EarlyMG5","veg_photoperiod1",12.83,14.113
"EarlyMG5","veg_photoperiod2",16.13,16.13
"EarlyMG5","early_grain",0.042,0.0441
"EarlyMG5","late_grain",418,438.9
"EarlyMG5","photoperiod1",12.7,11.43
"EarlyMG5","photoperiod2",14.31,15.0255
"EarlyMG5","area_largest_leaf",0.004,0.004125
"EarlyMG5","rue",1.05,1.168125
"LateMG5","veg",396,396
"LateMG5","early_flowering",160,160
"LateMG5","veg_photoperiod1",12.83,12.83
"LateMG5","veg_photoperiod2",16.13,16.13
"LateMG5","early_grain",0.072,0.07605
"LateMG5","late_grain",696,713.4
"LateMG5","photoperiod1",12.83,13.5516875
"LateMG5","photoperiod2",16.13,17.0373125
"LateMG5","area_largest_leaf",0.007,0.006825
"LateMG5","rue",1.25,1.1875
