"group","stage","error","veg","early_flowering","veg_photoperiod1","veg_photoperiod2","early_grain","late_grain","photoperiod1","photoperiod2","rue","area_largest_leaf"
"LateMG5","vegetative",5.74300318780948,396,160,12.83,16.13,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",6.23441072571837,435.6,160,12.83,16.13,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",5.74300318780948,396,176,12.83,16.13,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",7.72046169459972,396,160,14.113,16.13,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",6.58063913728495,396,160,12.83,17.743,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",7.13648320859025,415.8,168,11.547,16.9365,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",6.26149168432104,410.85,166,12.1885,16.7349,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",9.17357264778397,423.225,171,12.5093,14.8194,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",5.99146454710798,402.8062,162.75,12.7498,17.0121,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",6.40357419793482,404.3531,163.375,13.4314,15.9662,NA,NA,NA,NA,NA,NA
"LateMG5","vegetative",5.95842469302978,409.2258,165.3437,12.4992,16.5427,NA,NA,NA,NA,NA,NA
"LateMG5","reproductive",8.55986946569667,NA,NA,NA,NA,0.072,696,12.83,16.13,NA,NA
"LateMG5","reproductive",8.55986946569667,NA,NA,NA,NA,0.0792,696,12.83,16.13,NA,NA
"LateMG5","reproductive",8.70698676304889,NA,NA,NA,NA,0.072,765.6,12.83,16.13,NA,NA
"LateMG5","reproductive",8.44182288439146,NA,NA,NA,NA,0.072,696,14.113,16.13,NA,NA
"LateMG5","reproductive",8.51539156946961,NA,NA,NA,NA,0.072,696,12.83,17.743,NA,NA
"LateMG5","reproductive",9.19857138837618,NA,NA,NA,NA,0.0756,626.4,13.4715,16.9365,NA,NA
"LateMG5","reproductive",8.53797573059877,NA,NA,NA,NA,0.0729,730.8,12.9904,16.3316,NA,NA
"LateMG5","reproductive",8.41803561988302,NA,NA,NA,NA,0.076,713.4,13.5517,17.0373,NA,NA
"LateMG5","reproductive",8.41825644355621,NA,NA,NA,NA,0.0781,722.1,13.9125,17.491,NA,NA
"LateMG5","reproductive",8.41825644355621,NA,NA,NA,NA,0.0673,722.1,13.9125,17.491,NA,NA
"LateMG5","reproductive",8.40760151478614,NA,NA,NA,NA,0.0703,715.575,13.6419,17.1507,NA,NA
"LateMG5","yield",15.2608404753295,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.007
"LateMG5","yield",15.695646466352,NA,NA,NA,NA,NA,NA,NA,NA,1.375,0.007
"LateMG5","yield",15.3544419954736,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.0077
"LateMG5","yield",15.2768272888071,NA,NA,NA,NA,NA,NA,NA,NA,1.125,0.0077
"LateMG5","yield",15.2293813076762,NA,NA,NA,NA,NA,NA,NA,NA,1.1875,0.0075
"LateMG5","yield",15.2023446647797,NA,NA,NA,NA,NA,NA,NA,NA,1.1875,0.0068
"LateMG5","yield",15.25513371888,NA,NA,NA,NA,NA,NA,NA,NA,1.1562,0.0064
"LateMG5","yield",15.2882664987742,NA,NA,NA,NA,NA,NA,NA,NA,1.125,0.0074
"LateMG5","yield",15.2227538198376,NA,NA,NA,NA,NA,NA,NA,NA,1.2188,0.0071
"LateMG5","yield",15.1791206048274,NA,NA,NA,NA,NA,NA,NA,NA,1.2187,0.0064
"LateMG5","yield",15.1506062129103,NA,NA,NA,NA,NA,NA,NA,NA,1.2344,0.0058
