"cultivar","parameter","initial","fitted","rss"
"EarlyMG4","vegetative",484,387.2,14.0139531366532
"EarlyMG4","early.flowering",185,191.9375,14.0139531366532
"EarlyMG4","early.grain",0.338,0.350675,14.0139531366532
"EarlyMG4","late.grain",384,398.4,14.0139531366532
"EarlyMG4","photoperiod.modifier1",11.48,11.9105,14.0139531366532
"EarlyMG4","photoperiod.modifer2",17.24,17.8865,14.0139531366532
"EarlyMG4","area.largest.leaf",0.004,0.00415,14.0139531366532
"EarlyMG4","rue",1.48,1.5355,14.0139531366532
"LateMG4","vegetative",388,310.4,14.7242008797574
"LateMG4","early.flowering",140,145.25,14.7242008797574
"LateMG4","early.grain",0.324,0.33615,14.7242008797574
"LateMG4","late.grain",664,688.9,14.7242008797574
"LateMG4","photoperiod.modifier1",13.1,13.59125,14.7242008797574
"LateMG4","photoperiod.modifer2",16.49,17.108375,14.7242008797574
"LateMG4","area.largest.leaf",0.007,0.0072625,14.7242008797574
"LateMG4","rue",1.25,1.296875,14.7242008797574
"EarlyMG5","vegetative",634,507.2,14.2257834235958
"EarlyMG5","early.flowering",189,196.0875,14.2257834235958
"EarlyMG5","early.grain",0.042,0.043575,14.2257834235958
"EarlyMG5","late.grain",418,433.675,14.2257834235958
"EarlyMG5","photoperiod.modifier1",12.7,13.17625,14.2257834235958
"EarlyMG5","photoperiod.modifer2",14.31,14.846625,14.2257834235958
"EarlyMG5","area.largest.leaf",0.004,0.00415,14.2257834235958
"EarlyMG5","rue",1.05,1.089375,14.2257834235958
"LateMG5","vegetative",396,396,14.7533521919328
"LateMG5","early.flowering",160,160,14.7533521919328
"LateMG5","early.grain",0.072,0.072,14.7533521919328
"LateMG5","late.grain",696,696,14.7533521919328
"LateMG5","photoperiod.modifier1",12.83,14.113,14.7533521919328
"LateMG5","photoperiod.modifer2",16.13,16.13,14.7533521919328
"LateMG5","area.largest.leaf",0.007,0.007,14.7533521919328
"LateMG5","rue",1.25,1.25,14.7533521919328
