"location","latitude","sowing_date","sowing_doy","calendar_date","calendar_doy","day_in_season","temp_mean","temp_min","temp_max","photoperiod_hours","scenario"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-15,105,1,28.2,23.7,32.7,12.95,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-16,106,2,23.5,19,28,12.98,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-17,107,3,26,21.5,30.5,13.02,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-18,108,4,26.8,22.3,31.3,13.06,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-19,109,5,26.4,21.9,30.9,13.09,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-20,110,6,25.3,20.8,29.8,13.13,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-21,111,7,29.5,25,34,13.16,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-22,112,8,25.6,21.1,30.1,13.2,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-23,113,9,31,26.5,35.5,13.23,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-24,114,10,26,21.5,30.5,13.27,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-25,115,11,29.5,25,34,13.3,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-26,116,12,32.1,27.6,36.6,13.33,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-27,117,13,23.1,18.6,27.6,13.37,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,"Early (Apr 15)",105,2023-04-28,118,14,26,21.5,30.5,13.4,"Fayetteville, AR - Early (Apr 15)"
