location,latitude,sowing_date,sowing_doy,calendar_date,calendar_doy,day_in_season,temp_mean,temp_min,temp_max,photoperiod_hours,scenario
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-15,105,1,24.4,19.9,28.9,12.95,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-16,106,2,24.5,20.0,29.0,12.98,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-17,107,3,24.8,20.3,29.3,13.02,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-18,108,4,27.0,22.5,31.5,13.06,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-19,109,5,25.1,20.6,29.6,13.09,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-20,110,6,21.8,17.3,26.3,13.13,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-21,111,7,26.5,22.0,31.0,13.16,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-22,112,8,25.2,20.7,29.7,13.2,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-23,113,9,25.4,20.9,29.9,13.23,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-24,114,10,26.4,21.9,30.9,13.27,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-25,115,11,26.9,22.4,31.4,13.3,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-26,116,12,29.3,24.8,33.8,13.33,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-27,117,13,28.2,23.7,32.7,13.37,"Fayetteville, AR - Early (Apr 15)"
"Fayetteville, AR",36.0726,Early (Apr 15),105,2023-04-28,118,14,27.0,22.5,31.5,13.4,"Fayetteville, AR - Early (Apr 15)"
